Age,Sex,province,education,total_count,education_level
45 to 54,Female,Saskatchewan,"Total - Highest certificate, diploma or degree (2016 counts)",68950,"Highest certificate, diploma or degree"
45 to 54,Female,Saskatchewan,"No certificate, diploma or degree (2016 counts)",7125,Other
45 to 54,Female,Saskatchewan,Secondary (high) school diploma or equivalency certificate (2016 counts),18940,Secondary (high) school diploma or equivalency certificate
45 to 54,Female,Saskatchewan,Apprenticeship or trades certificate or diploma (2016 counts),5110,Apprenticeship or trades certificate or diploma
45 to 54,Female,Saskatchewan,"College, CEGEP or other non-university certificate or diploma (2016 counts)",20120,"College, CEGEP or other non-university certificate or diploma"
45 to 54,Female,Saskatchewan,University certificate or diploma below bachelor level (2016 counts),3265,University certificate or diploma below bachelor level
55 to 64,Both sexes,Saskatchewan,"Total - Highest certificate, diploma or degree (2016 counts)",142065,"Highest certificate, diploma or degree"
55 to 64,Both sexes,Saskatchewan,"No certificate, diploma or degree (2016 counts)",23330,Other
55 to 64,Both sexes,Saskatchewan,Secondary (high) school diploma or equivalency certificate (2016 counts),46005,Secondary (high) school diploma or equivalency certificate
55 to 64,Both sexes,Saskatchewan,Apprenticeship or trades certificate or diploma (2016 counts),17895,Apprenticeship or trades certificate or diploma
55 to 64,Both sexes,Saskatchewan,"College, CEGEP or other non-university certificate or diploma (2016 counts)",27700,"College, CEGEP or other non-university certificate or diploma"
55 to 64,Both sexes,Saskatchewan,University certificate or diploma below bachelor level (2016 counts),6030,University certificate or diploma below bachelor level
55 to 64,Male,Saskatchewan,"Total - Highest certificate, diploma or degree (2016 counts)",70660,"Highest certificate, diploma or degree"
55 to 64,Male,Saskatchewan,"No certificate, diploma or degree (2016 counts)",14320,Other
55 to 64,Male,Saskatchewan,Secondary (high) school diploma or equivalency certificate (2016 counts),21480,Secondary (high) school diploma or equivalency certificate
55 to 64,Male,Saskatchewan,Apprenticeship or trades certificate or diploma (2016 counts),13410,Apprenticeship or trades certificate or diploma
55 to 64,Male,Saskatchewan,"College, CEGEP or other non-university certificate or diploma (2016 counts)",9380,"College, CEGEP or other non-university certificate or diploma"
55 to 64,Male,Saskatchewan,University certificate or diploma below bachelor level (2016 counts),2490,University certificate or diploma below bachelor level
55 to 64,Female,Saskatchewan,"Total - Highest certificate, diploma or degree (2016 counts)",71405,"Highest certificate, diploma or degree"
55 to 64,Female,Saskatchewan,"No certificate, diploma or degree (2016 counts)",9010,Other
55 to 64,Female,Saskatchewan,Secondary (high) school diploma or equivalency certificate (2016 counts),24525,Secondary (high) school diploma or equivalency certificate
55 to 64,Female,Saskatchewan,Apprenticeship or trades certificate or diploma (2016 counts),4480,Apprenticeship or trades certificate or diploma
55 to 64,Female,Saskatchewan,"College, CEGEP or other non-university certificate or diploma (2016 counts)",18320,"College, CEGEP or other non-university certificate or diploma"
55 to 64,Female,Saskatchewan,University certificate or diploma below bachelor level (2016 counts),3535,University certificate or diploma below bachelor level
"All ages, 15-plus",Both sexes,Alberta,"Total - Highest certificate, diploma or degree (2016 counts)",3206045,"Highest certificate, diploma or degree"
"All ages, 15-plus",Both sexes,Alberta,"No certificate, diploma or degree (2016 counts)",540665,Other
"All ages, 15-plus",Both sexes,Alberta,Secondary (high) school diploma or equivalency certificate (2016 counts),895885,Secondary (high) school diploma or equivalency certificate
"All ages, 15-plus",Both sexes,Alberta,Apprenticeship or trades certificate or diploma (2016 counts),309465,Apprenticeship or trades certificate or diploma
"All ages, 15-plus",Both sexes,Alberta,"College, CEGEP or other non-university certificate or diploma (2016 counts)",615485,"College, CEGEP or other non-university certificate or diploma"
"All ages, 15-plus",Both sexes,Alberta,University certificate or diploma below bachelor level (2016 counts),94620,University certificate or diploma below bachelor level
"All ages, 15-plus",Male,Alberta,"Total - Highest certificate, diploma or degree (2016 counts)",1602810,"Highest certificate, diploma or degree"
"All ages, 15-plus",Male,Alberta,"No certificate, diploma or degree (2016 counts)",284020,Other
"All ages, 15-plus",Male,Alberta,Secondary (high) school diploma or equivalency certificate (2016 counts),440665,Secondary (high) school diploma or equivalency certificate
"All ages, 15-plus",Male,Alberta,Apprenticeship or trades certificate or diploma (2016 counts),242160,Apprenticeship or trades certificate or diploma
"All ages, 15-plus",Male,Alberta,"College, CEGEP or other non-university certificate or diploma (2016 counts)",250585,"College, CEGEP or other non-university certificate or diploma"
"All ages, 15-plus",Male,Alberta,University certificate or diploma below bachelor level (2016 counts),36875,University certificate or diploma below bachelor level
"All ages, 15-plus",Female,Alberta,"Total - Highest certificate, diploma or degree (2016 counts)",1603235,"Highest certificate, diploma or degree"
"All ages, 15-plus",Female,Alberta,"No certificate, diploma or degree (2016 counts)",256645,Other
"All ages, 15-plus",Female,Alberta,Secondary (high) school diploma or equivalency certificate (2016 counts),455215,Secondary (high) school diploma or equivalency certificate
"All ages, 15-plus",Female,Alberta,Apprenticeship or trades certificate or diploma (2016 counts),67305,Apprenticeship or trades certificate or diploma
"All ages, 15-plus",Female,Alberta,"College, CEGEP or other non-university certificate or diploma (2016 counts)",364895,"College, CEGEP or other non-university certificate or diploma"
"All ages, 15-plus",Female,Alberta,University certificate or diploma below bachelor level (2016 counts),57750,University certificate or diploma below bachelor level
25 to 64,Both sexes,Alberta,"Total - Highest certificate, diploma or degree (2016 counts)",2257820,"Highest certificate, diploma or degree"
25 to 64,Both sexes,Alberta,"No certificate, diploma or degree (2016 counts)",244760,Other
25 to 64,Both sexes,Alberta,Secondary (high) school diploma or equivalency certificate (2016 counts),569435,Secondary (high) school diploma or equivalency certificate
25 to 64,Both sexes,Alberta,Apprenticeship or trades certificate or diploma (2016 counts),238220,Apprenticeship or trades certificate or diploma
25 to 64,Both sexes,Alberta,"College, CEGEP or other non-university certificate or diploma (2016 counts)",496370,"College, CEGEP or other non-university certificate or diploma"
25 to 64,Both sexes,Alberta,University certificate or diploma below bachelor level (2016 counts),73310,University certificate or diploma below bachelor level
25 to 64,Male,Alberta,"Total - Highest certificate, diploma or degree (2016 counts)",1131030,"Highest certificate, diploma or degree"
25 to 64,Male,Alberta,"No certificate, diploma or degree (2016 counts)",136085,Other
25 to 64,Male,Alberta,Secondary (high) school diploma or equivalency certificate (2016 counts),283290,Secondary (high) school diploma or equivalency certificate
25 to 64,Male,Alberta,Apprenticeship or trades certificate or diploma (2016 counts),189180,Apprenticeship or trades certificate or diploma
25 to 64,Male,Alberta,"College, CEGEP or other non-university certificate or diploma (2016 counts)",203350,"College, CEGEP or other non-university certificate or diploma"
25 to 64,Male,Alberta,University certificate or diploma below bachelor level (2016 counts),29315,University certificate or diploma below bachelor level
25 to 64,Female,Alberta,"Total - Highest certificate, diploma or degree (2016 counts)",1126790,"Highest certificate, diploma or degree"
25 to 64,Female,Alberta,"No certificate, diploma or degree (2016 counts)",108675,Other
25 to 64,Female,Alberta,Secondary (high) school diploma or equivalency certificate (2016 counts),286145,Secondary (high) school diploma or equivalency certificate
25 to 64,Female,Alberta,Apprenticeship or trades certificate or diploma (2016 counts),49040,Apprenticeship or trades certificate or diploma
25 to 64,Female,Alberta,"College, CEGEP or other non-university certificate or diploma (2016 counts)",293020,"College, CEGEP or other non-university certificate or diploma"
25 to 64,Female,Alberta,University certificate or diploma below bachelor level (2016 counts),44005,University certificate or diploma below bachelor level
25 to 34,Both sexes,Alberta,"Total - Highest certificate, diploma or degree (2016 counts)",635910,"Highest certificate, diploma or degree"
25 to 34,Both sexes,Alberta,"No certificate, diploma or degree (2016 counts)",59275,Other
25 to 34,Both sexes,Alberta,Secondary (high) school diploma or equivalency certificate (2016 counts),162180,Secondary (high) school diploma or equivalency certificate
25 to 34,Both sexes,Alberta,Apprenticeship or trades certificate or diploma (2016 counts),62525,Apprenticeship or trades certificate or diploma
25 to 34,Both sexes,Alberta,"College, CEGEP or other non-university certificate or diploma (2016 counts)",125885,"College, CEGEP or other non-university certificate or diploma"
25 to 34,Both sexes,Alberta,University certificate or diploma below bachelor level (2016 counts),20010,University certificate or diploma below bachelor level
25 to 34,Male,Alberta,"Total - Highest certificate, diploma or degree (2016 counts)",318830,"Highest certificate, diploma or degree"
25 to 34,Male,Alberta,"No certificate, diploma or degree (2016 counts)",33665,Other
25 to 34,Male,Alberta,Secondary (high) school diploma or equivalency certificate (2016 counts),89560,Secondary (high) school diploma or equivalency certificate
25 to 34,Male,Alberta,Apprenticeship or trades certificate or diploma (2016 counts),49935,Apprenticeship or trades certificate or diploma
25 to 34,Male,Alberta,"College, CEGEP or other non-university certificate or diploma (2016 counts)",51715,"College, CEGEP or other non-university certificate or diploma"
25 to 34,Male,Alberta,University certificate or diploma below bachelor level (2016 counts),7680,University certificate or diploma below bachelor level
25 to 34,Female,Alberta,"Total - Highest certificate, diploma or degree (2016 counts)",317080,"Highest certificate, diploma or degree"
25 to 34,Female,Alberta,"No certificate, diploma or degree (2016 counts)",25605,Other
25 to 34,Female,Alberta,Secondary (high) school diploma or equivalency certificate (2016 counts),72620,Secondary (high) school diploma or equivalency certificate
